Title,Description,Spatial Coverage
"Municipalities Outagamie County, WI 2015","This polygon data layer represents municipalities for Outagamie County, Wisconsin in 2015.",Outagamie County
"Municipalities Pierce County, WI 2012","This data layer represents municipalities for Pierce County, Wisconsin in 2012.|Augmented original metadata with UW-Madison specific elements.",Pierce County|Wisconsin
"Municipalities Portage County, WI 2013","This data layer represents municipalities for Portage County, Wisconsin in 2013.|Augmented original metadata with UW-Madison specific elements.",Portage County
