Portal,Resource
02a-03,tote-sample-data-set
02a-03,icc-designated-agents
02a-03,rt-sample-data-set
02a-03,adw-sample-data-set
08f-01,street-sweeping-routes
08f-01,pittsburgh-historic-districts
08f-01,city-of-pittsburgh-gis-data
08f-01,allegheny-county-harvested-data
