Title,Manifest,Image
Basement structures in Ohio,https://library.osu.edu/dc/concern/generic_works/hq37w186h/manifest.json,https://library.osu.edu/dc/downloads/zc77t401n?file=thumbnail
"Bedrock geology of the Flint Ridge area, Licking and Muskingum Counties, Ohio",https://library.osu.edu/dc/concern/generic_works/05742538x/manifest.json,https://library.osu.edu/dc/downloads/6w924r993?file=thumbnail
Bouguer anomalies in Ohio,https://library.osu.edu/dc/concern/generic_works/cc08hv396/manifest.json,https://library.osu.edu/dc/downloads/1257b6246?file=thumbnail
