Manifest,Image
https://library.osu.edu/dc/concern/generic_works/cc08hv396/manifest.json,https://library.osu.edu/dc/downloads/1257b6246?file=thumbnail
https://library.osu.edu/dc/concern/generic_works/05742538x/manifest.json,https://library.osu.edu/dc/downloads/6w924r993?file=thumbnail
https://library.osu.edu/dc/concern/generic_works/hq37w186h/manifest.json,https://library.osu.edu/dc/downloads/zc77t401n?file=thumbnail
