Title,Alternative Title,Description,Language,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Geometry,Bounding Box,Relation,Member Of,Is Part Of,Rights,Access Rights,Format,File Size,B1G Image,ID,Identifier,Code,Accrual Method,Date Accessioned,Publication State,im?file=thumbnail,Download,Information
Sanborn Map [Indiana--Albion] {1914} sheet 1,Sanborn- ALBION - 1914 - sheet 1,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1914,,1914,1914-1914,Indiana--Albion|Indiana--Noble County|Indiana,"POLYGON((-85.4380430 41.4111330, -85.3956470 41.4111330, -85.3956470 41.3779840, -85.4380430 41.3779840, -85.4380430 41.4111330))","-85.4380430,41.3779840,-85.3956470,41.4111330",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02248_1914-0001_5138jd86g,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/2b88qc202?file=thumbnail,http://datacore.iu.edu/downloads/2b88qc202,https://datacore.iu.edu/concern/data_sets/5138jd86g
Sanborn Map [Indiana--Albion] {1914} sheet 2,Sanborn- ALBION - 1914 - sheet 2,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1914,,1914,1914-1914,Indiana--Albion|Indiana--Noble County|Indiana,"POLYGON((-85.4380430 41.4111330, -85.3956470 41.4111330, -85.3956470 41.3779840, -85.4380430 41.3779840, -85.4380430 41.4111330))","-85.4380430,41.3779840,-85.3956470,41.4111330",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02248_1914-0002_5t34sj58c,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/th83kz34n?file=thumbnail,http://datacore.iu.edu/downloads/th83kz34n,https://datacore.iu.edu/concern/data_sets/5t34sj58c
Sanborn Map [Indiana--Albion] {1914} sheet 3,Sanborn- ALBION - 1914 - sheet 3,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1914,,1914,1914-1914,Indiana--Albion|Indiana--Noble County|Indiana,"POLYGON((-85.4380430 41.4111330, -85.3956470 41.4111330, -85.3956470 41.3779840, -85.4380430 41.3779840, -85.4380430 41.4111330))","-85.4380430,41.3779840,-85.3956470,41.4111330",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02248_1914-0003_mc87pq25t,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/0c483j402?file=thumbnail,http://datacore.iu.edu/downloads/0c483j402,https://datacore.iu.edu/concern/data_sets/mc87pq25t
Sanborn Map [Indiana--Albion] {1914} sheet 4,Sanborn- ALBION - 1914 - sheet 4,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1914,,1914,1914-1914,Indiana--Albion|Indiana--Noble County|Indiana,"POLYGON((-85.4380430 41.4111330, -85.3956470 41.4111330, -85.3956470 41.3779840, -85.4380430 41.3779840, -85.4380430 41.4111330))","-85.4380430,41.3779840,-85.3956470,41.4111330",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02248_1914-0004_47429915b,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/r781wg024?file=thumbnail,http://datacore.iu.edu/downloads/r781wg024,https://datacore.iu.edu/concern/data_sets/47429915b
Sanborn Map [Indiana--Alexandria] {1892} sheet 1,Sanborn- ALEXANDRIA - 1892 - sheet 1,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1892,,1892,1892-1892,Indiana--Alexandria|Indiana--Madison County|Indiana,"POLYGON((-85.6963618 40.2806510, -85.6611750 40.2806510, -85.6611750 40.2339880, -85.6963618 40.2339880, -85.6963618 40.2806510))","-85.6963618,40.2339880,-85.6611750,40.2806510",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02249_1892-0001_cc08hf62h,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/mg74qm11q?file=thumbnail,http://datacore.iu.edu/downloads/mg74qm11q,https://datacore.iu.edu/concern/data_sets/cc08hf62h
Sanborn Map [Indiana--Alexandria] {1892} sheet 2,Sanborn- ALEXANDRIA - 1892 - sheet 2,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1892,,1892,1892-1892,Indiana--Alexandria|Indiana--Madison County|Indiana,"POLYGON((-85.6963618 40.2806510, -85.6611750 40.2806510, -85.6611750 40.2339880, -85.6963618 40.2339880, -85.6963618 40.2806510))","-85.6963618,40.2339880,-85.6611750,40.2806510",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02249_1892-0002_rr171x25z,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/gb19f583j?file=thumbnail,http://datacore.iu.edu/downloads/gb19f583j,https://datacore.iu.edu/concern/data_sets/rr171x25z
Sanborn Map [Indiana--Alexandria] {1892} sheet 3,Sanborn- ALEXANDRIA - 1892 - sheet 3,Indiana Sanborn Historic Maps,eng,Sanborn Fire Insurance Company,fst00546311,Sanborn Map Company,Indiana University,Maps,Fire insurance maps,,,,1892,,1892,1892-1892,Indiana--Alexandria|Indiana--Madison County|Indiana,"POLYGON((-85.6963618 40.2806510, -85.6611750 40.2806510, -85.6611750 40.2339880, -85.6963618 40.2339880, -85.6963618 40.2806510))","-85.6963618,40.2339880,-85.6611750,40.2806510",8888-002,64bd8c4c-8e60-4956-b43d-bdc3f93db488|b35f927e-9051-4d7f-9ca3-ad5b19024e0b,01d-05,No Copyright - United States,Public,PDF,,,02249_1892-0003_bz60cw27k,,01d-05,Spreadsheet export,2024-03-07,draft,http://datacore.iu.edu/downloads/r207tp36h?file=thumbnail,http://datacore.iu.edu/downloads/r207tp36h,https://datacore.iu.edu/concern/data_sets/bz60cw27k
