portalName,URL,Provider,Publisher,Spatial Coverage,Bounding box
02a-03,https://data.illinois.gov/,State of Illinois Data Portal,State of Illinois,Illinois,"-91.5131,36.9703,-87.0199,42.5085"
08f-01,http://data.wprdc.org/,Western Pennsylvania Regional Data Center Open Data,Western Pennsylvania Regional Data Center,Pennsylvania,"-80.5199,39.7198,-74.6895,42.5161"
