Title,Manifest
Basement structures in Ohio,https://library.osu.edu/dc/concern/generic_works/hq37w186h/manifest.json
"Bedrock geology of the Flint Ridge area, Licking and Muskingum Counties, Ohio",https://library.osu.edu/dc/concern/generic_works/05742538x/manifest.json
Bouguer anomalies in Ohio,https://library.osu.edu/dc/concern/generic_works/cc08hv396/manifest.json
