Portal,Resource
05a-01,elev-bldg-height
05a-01,water-historic-stream-northshore
05a-01,geos-sealed-wells
08f-01,allegheny-county-voting-district-boundaries-fall-2016-spring-2017
08f-01,allegheny-county-snow-route-centerlines-2018-20191
08f-01,allegheny-county-trails-locations1
08f-01,allegheny-county-polling-place-locations-may-20191
08f-01,allegheny-county-hydrology-lines1
08f-01,polling-places-for-allegheny-county-elections-november-2020
08f-01,allegheny-county-cell-tower-points1
08f-01,allegheny-county-polling-place-locations-may-20182
08f-01,allegheny-county-owned-bridges-points1
08f-01,allegheny-county-polling-place-locations-november-20141
08f-01,allegheny-county-census-block-groups-20161
08f-01,allegheny-county-voting-district-boundaries-spring-2015-spring-2016
08f-01,allegheny-county-magisterial-districts-outlines-20151
08f-01,allegheny-county-map-index-grid1
08f-01,allegheny-county-watershed-boundaries1
08f-01,allegheny-county-block-areas1
08f-01,allegheny-county-major-rivers1
08f-01,allegheny-county-tif-boundaries1
08f-01,allegheny-county-census-blocks-20161
08f-01,allegheny-county-polling-place-locations-november-20171
08f-01,allegheny-county-tif-exclusions1
08f-01,allegheny-county-owned-roads-centerlines1
08f-01,allegheny-county-polling-place-locations-november-20181
08f-01,budget-2011-2013
08f-01,allegheny-county-wic-vendor-locations1
08f-01,allegheny-county-cemetery-outlines1
08f-01,allegheny-county-census-tracts-20161
08f-01,allegheny-county-pennsylvania-house-of-representatives-district-boundaries1
08f-01,allegheny-county-voting-district-boundaries-spring-2017-present
08f-01,allegheny-county-school-district-boundaries1
08f-01,allegheny-county-polling-place-locations-november-20151
08f-01,allegheny-county-municipal-boundaries1
08f-01,allegheny-county-basin-outlines-map1
08f-01,allegheny-county-pennsylvania-senate-district-boundaries1
08f-01,allegheny-county-council-districts1
08f-01,allegheny-county-hydrology-areas1
08f-01,previous-allegheny-county-pennsylvania-u-s-legislative-congressional-district-boundaries1
08f-01,allegheny-county-land-cover-areas1
08f-01,allegheny-county-wooded-area-boundaries1
08f-01,allegheny-county-beltway-system-street-centerlines1
08f-01,allegheny-county-voting-district-boundaries1
08f-01,allegheny-county-voting-district-boundaries-ward-district-labels1
08f-01,allegheny-county-blazed-trails-locations-public
08f-01,allegheny-county-soil-type-areas1
08f-01,allegheny-county-polling-place-locations-may-2017
08f-01,allegheny-county-building-footprint-locations1
08f-01,allegheny-county-parks-outlines1
08f-01,allegheny-county-park-facilities
08f-01,allegheny-county-public-schools-local-education-agency-leas-locations1
08f-01,allegheny-county-boundary1
08f-01,allegheny-county-private-schools-locations1
08f-01,allegheny-county-land-use-areas1
08f-01,allegheny-county-polling-place-locations-november-2016
08f-01,allegheny-county-public-building-locations1
01c-01,railroad-centerlines-gis-data
02a-03,illinois-criminal-justice-information-authority-grants-sfy16q1-sfy22q2
