Standard,Documentation link,,,,,,,
ArcGIS 1.0,[https://desktop.arcgis.com/en/arcmap/10.3/manage-data/metadata/the-arcgis-metadata-format.htm](https://desktop.arcgis.com/en/arcmap/10.3/manage-data/metadata/the-arcgis-metadata-format.htm),,,,,,,
DCAT,https://www.w3.org/TR/vocab-dcat-3,,,,,,,
Dublin Core,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,,,,,,,
FGDC,"https://www.fgdc.gov/dataandservices/fgdcmeta#:~:text=The%20FGDC%20metadata%20standard%20is,overall%20structure%20to%20the%20standard.",,,,,,,
ISO 19139,https://www.iso.org/standard/67253.html,,,,,,,
MARC,https://www.loc.gov/marc/,,,,,,,
MODS,https://www.loc.gov/standards/mods/mods-overview.html,,,,,,,
