portalName,resourceName,landingPage
05a-01,struc-superior-hiking-trail,https://gisdata.mn.gov/api/3/action/package_show?id=struc-superior-hiking-trail
05a-01,trans-superior-hiking-trail,https://gisdata.mn.gov/api/3/action/package_show?id=trans-superior-hiking-trail
