Portal,Resource
05a-01,us-mn-state-metrogis-trans-ncompass-roads-landmarks
08c-01,airport-parking-locations
08c-01,school-information-school-catchment
08c-01,philadelphia-street-tree-inventory
08c-01,district-employees-and-finance-employee-data
08c-01,airport-rental-car-locations
08c-01,school-performance-graduation-rates
08c-01,airport-public-parking-lots
08c-01,airport-parking-availability
08c-01,airport-airside-pavement
08c-01,school-performance-district-scorecard
08c-01,school-performance-out-of-school-suspensions
08c-01,school-information-pre-school-information
08c-01,vital-status-events
08c-01,airport-buildings
08c-01,philadelphia-nadir-imagery
08c-01,school-information-school-lists
08c-01,parks-and-recreation-assets
08c-01,district-employees-and-finance-teacher-attendance
08c-01,school-information-school-enrollment-demographics
08c-01,school-information-district-enrollment-demographics
08c-01,airport-runways
08c-01,airport-rental-car-lots
08c-01,district-employees-and-finance-expenditure-information
08c-01,school-performance-pssa-keystone-exam-data
08c-01,airport-roadway-zones
08c-01,philly-bike-dock
08c-01,phl-flight-api
08c-01,school-information-district-wide-surveys
08c-01,phl-airport-amenities
08c-01,district-employees-and-finance-full-time-employee-fte
08c-01,school-performance-school-progress-report
08c-01,school-performance-serious-incidents
08c-01,school-performance-attendance
08f-01,vacant-properties
08f-01,pittsburgh-wards
08f-01,pittsburgh-city-council-districts-2012
08f-01,pittsburgh-traffic-signals
08f-01,pittsburgh-greenways
08f-01,pittsburgh-parks
08f-01,pittsburgh-city-facilities
02a-03,idhr-eligibility-numbers
02a-03,illinois-criminal-justice-information-authority-grants-sfy16q1-sfy21q4
