Information,ID,Title,Temporal Coverage,Date Range,Publisher,Provider,Language,Description,Resource Class,Resource Type,HTML,Download,Code,Is Part Of,Member Of,Access Rights,Accrual Method,Date Accessioned
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2077,pasda-2077,Adams County - Ag Security Areas,2023,,Adams County,Pennsylvania Spatial Data Access (PASDA),eng,"Agricultureal Security Areas  of Adams County, Pennsylvania",,,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_AgSecurityAreas202302.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_AgSecurityAreas202302.zip,08a-01,08a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Public,HTML,2023-02-18
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2078,pasda-2078,Adams County - Land Conservancy Easements,2023,,Adams County,Pennsylvania Spatial Data Access (PASDA),eng,"Land Conservancy Easements of Adams County, Pennsylvania",,,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_LandConservancyEasements202302.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_LandConservancyEasements202302.zip,08a-01,08a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Public,HTML,2023-02-18
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=2079,pasda-2079,Adams County - Mt Joy Twp Preserved Farms,2023,,Adams County,Pennsylvania Spatial Data Access (PASDA),eng,"Mt Joy Twp Preserved Farms of Adams County, Pennsylvania",,,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MtJoyTwpPreservedFarms202302.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_MtJoyTwpPreservedFarms202302.zip,08a-01,08a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Public,HTML,2023-02-18
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1917,pasda-1917,Adams County - Municipal Boundary,2023,,Adams County,Pennsylvania Spatial Data Access (PASDA),eng,Adams County Municipal Boundaies,,,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MunicipalBoundary202302.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_MunicipalBoundary202302.zip,08a-01,08a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Public,HTML,2023-02-18
https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1918,pasda-1918,Adams County - Parcels,2023,,Adams County,Pennsylvania Spatial Data Access (PASDA),eng,Adams County parcels,,,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_Parcels202302.xml,https://www.pasda.psu.edu/download/adamscounty/AdamsCounty_Parcels202302.zip,08a-01,08a-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,Public,HTML,2023-02-18
