Label,altLabel,Bounding Box
Ireland,,"-9.98,51.67,-6.03,55.13"
Isle of Man,,"-5.1707,53.845,-3.9654,54.5534"
Israel,,"34.27,29.5,35.84,33.28"
Italy,,"6.75,36.62,18.48,47.12"
Jamaica,,"-78.34,17.7,-76.2,18.52"
Japan,,"129.41,31.03,145.54,45.55"
Jersey,,"-2.257605,49.162392,-2.017279,49.262868"
Jordan,,"34.92,29.2,39.2,33.38"
Kazakhstan,,"46.47,40.66,87.36,55.39"
Kenya,,"33.89,-4.68,41.86,5.51"
Kiribati,,"169.32,-11.65,-149.99,4.9"
Kosovo,,"20.0143,41.8576,21.7899,43.2733"
Kuwait,,"46.57,28.53,48.42,30.06"
Kyrgyzstan,,"69.46,39.28,80.26,43.3"
Laos,Lao People's Democratic Republic,"100.12,13.88,107.56,22.46"
Latvia,,"21.06,55.62,28.18,57.97"
Lebanon,,"35.13,33.09,36.61,34.64"
Lesotho,,"27,-30.65,29.33,-28.65"
Liberia,,"-11.44,4.36,-7.54,8.54"
Libya,,"9.32,19.58,25.16,33.14"
Liechtenstein,,"9.471673,47.048429,9.635714,47.270581"
Lithuania,,"21.06,53.91,26.59,56.37"
Luxembourg,,"5.67,49.44,6.24,50.13"
Macedonia,North Macedonia,"20.46,40.84,22.95,42.32"
Madagascar,,"43.25,-25.6,50.48,-12.04"
Malawi,,"32.69,-16.8,35.77,-9.23"
Malaysia,,"100.09,0.77,119.18,6.93"
Maldives,,"72.3554,-0.9075,73.9701,7.3106"
Mali,,"-12.17,10.1,4.27,24.97"
Malta,,"13.936045,35.585392,14.822786,36.282546"
Marshall Islands,,"160.59,4.37,172.37,14.92"
Martinique,,"-61.435505,14.221738,-60.602281,15.079503"
Mauritania,,"-17.06,14.62,-4.92,27.4"
Mauritius,,"56.38,-20.72,63.72,-10.14"
Mayotte,,"44.743667,-13.273255,45.507034,-12.379027"
Mexico,,"-117.13,14.54,-86.81,32.72"
Micronesia (Federated States of),Micronesia,"137.13,0.82,163.24,10.29"
Moldova,Republic of Moldova,"26.62,45.49,30.02,48.47"
Monaco,,"7.409028,43.516536,7.532991,43.751931"
Mongolia,,"87.75,41.6,119.77,52.05"
Montenegro,,"18.45,41.88,20.34,43.52"
Montserrat,,"-62.450243,16.473764,-61.935998,16.888516"
Morocco,,"-17.02,21.42,-1.12,35.76"
Mozambique,,"30.18,-26.74,40.78,-10.32"
Myanmar,,"92.3,9.93,101.18,28.34"
Namibia,,"11.73,-29.05,25.08,-16.94"
Nauru,,"166.709986,-0.753,167.15973,-0.303"
Nepal,,"80.09,26.4,88.17,30.42"
Netherlands,,"3.31,50.8,7.09,53.51"
New Caledonia,,"164.03,-22.4,167.12,-20.11"
New Zealand,,"166.51,-46.64,178.52,-34.45"
Nicaragua,,"-87.67,10.73,-83.15,15.02"
Niger,,"0.3,11.66,15.9,23.47"
Nigeria,,"2.69,4.24,14.58,13.87"
Niue,,"-170.159503,-19.354866,-169.564723,-18.753456"
Norfolk Island,,"167.685673,-29.337069,168.226126,-28.793662"
North Korea,Democratic People's Republic of Korea,"124.27,37.67,130.78,42.99"
Northern Mariana Islands,,"144.8133,14.0366,146.1544,20.6166"
Norway,,"4.99,58.08,31.29,80.66"
Oman,,"52,16.65,59.81,26.4"
Pakistan,,"60.87,23.69,77.84,37.13"
Palau,Belau,"130.9194,2.5958,134.9295,8.4058"
Palestine,State of Palestine,"34.218002,31.223963,35.572357,32.552052"
Panama,,"-82.97,7.22,-77.24,9.61"
Papua New Guinea,,"141,-10.65,156.02,-2.5"
Paraguay,,"-62.69,-27.55,-54.29,-19.34"
Peru,,"-81.41,-18.35,-68.67,-0.06"
Philippines,,"117.17,5.58,126.54,18.51"
Pitcairn,,"-130.9747,-25.2802,-124.5518,-23.707"
Poland,,"14.07,49.03,24.03,54.85"
Portugal,,"-9.53,36.84,-6.39,42.28"
Puerto Rico,,"-67.24,17.95,-65.59,18.52"
Qatar,,"50.74,24.56,51.61,26.11"
Réunion,La Réunion,"55.003281,-21.590446,56.05079,-20.672764"
Romania,,"20.22,43.69,29.63,48.22"
Russia,Russian Federation,"-179.99,41.15,179.99,81.25"
Rwanda,,"29.02,-2.92,30.82,-1.13"
Saint Barthélemy,,"-63.06639,17.670931,-62.584402,18.137557"
Saint Helena,,"-5.997343,-16.23,-5.423416,-15.704"
Saint Kitts and Nevis,,"-63.04911,16.892623,-62.374187,17.617055"
Saint Lucia,,"-61.285562,13.506075,-60.664045,14.2725"
Saint Martin,,"-63.360565,17.896354,-62.764406,18.190278"
Saint Pierre and Miquelon,,"-56.697463,46.548831,-55.906644,47.34158"
Saint Vincent and the Grenadines,,"-61.6646,12.3984,-60.9088,13.5843"
Samoa,,"-173.009187,-14.277091,-171.192923,-13.238189"
San Marino,,"12.403324,43.893633,12.516202,43.992093"
Sao Tome and Principe,,"6.2606,-0.2135,7.6705,1.9258"
Saudi Arabia,,"34.63,16.35,55.67,32.16"
Senegal,,"-17.63,12.33,-11.47,16.6"
Serbia,,"18.83,42.25,22.99,46.17"
Seychelles,Republic of Seychelles,"5.9559,45.818,10.4921,47.8084"
Sierra Leone,,"-13.25,6.79,-10.23,10.05"
Singapore,,"103.566667,1.130361,104.571669,1.514319"
Sint Maarten,,"-63.268812,17.806209,-62.949445,18.063986"
Slovakia,,"16.88,47.76,22.56,49.57"
Slovenia,,"13.7,45.45,16.56,46.85"
Solomon Islands,,"156.49,-10.83,162.4,-6.6"
Somalia,,"40.98,-1.68,51.13,12.02"
South Africa,,"16.34,-34.82,32.83,-22.09"
South Georgia and the South Sandwich Islands,,"-42.36,-59.67,-25.89,-53.35"
South Korea,Republic of Korea,"126.12,34.39,129.47,38.61"
South Sudan,,"23.89,3.51,35.3,12.25"
Spain,,"-9.39,35.95,3.04,43.75"
Sri Lanka,,"79.7,5.97,81.79,9.82"
Sudan,,"21.94,8.62,38.41,22"
Suriname,,"-58.04,1.82,-53.96,6.03"
Svalbard and Jan Mayen Islands,,"-9.15,70.7,34.69,81.03"
Swaziland,,"30.68,-27.29,32.07,-25.66"
Sweden,,"11.03,55.36,23.9,69.11"
Switzerland,,"6.02,45.78,10.44,47.83"
Syria,Syrian Arab Republic,"35.7,32.31,42.35,37.23"
