Title,Alternative Title,Description,Language,Display Note,B1G Language,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Geometry,Bounding Box,Centroid,Georeferenced,GeoNames,Relation,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Rights,Rights Holder,License,Access Rights,Format,File Size,WxS Identifier,B1G Image,ID,Identifier,Code,Accrual Method,Accrual Periodicity,Date Accessioned,Date Retired,Status,Publication State,Suppressed Record,Child Record,Mediator,Access,Created At,Updated At,Documentation,Download,FeatureServer,FGDC,Harvard Download,HTML,IIIF,ImageServer,Information,ISO19139,Manifest,MapServer,MODS,oEmbed,Index Map,TileServer,WCS,WFS,WMS,COG,PMTiles,XYZ Tiles,WMTS,TileJSON,Tile Map Service
"City of Bloomington, Indiana Open Data Portal","","Website for finding and accessing open data provided by the City of Bloomington, Indiana",eng,"","","","","City of Bloomington, Indiana",,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Indiana--Bloomington|Indiana,"POLYGON((-86.592 39.221, -86.471 39.221, -86.471 39.121, -86.592 39.121, -86.592 39.221))","-86.592,39.121,-86.471,39.221","39.171,-86.5315",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,01c-01,https://data.bloomington.in.gov/data.json,01c-01,DCAT API,Quarterly,2021-04-27,,Indexed,published,,,"",,2021-04-27 10:43:06 -0500,2023-12-05 14:09:44 -0600,,,,,,,,,https://data.bloomington.in.gov,,,,,,,,,,,,,,,,
Macoupin Data,"","Website for finding and accessing open data provided by Macoupin County, Illinois",eng,"","","","",Illinois--Macoupin County,,Websites,"",County government records,"","",Continually updated resource,,"","",Illinois--Macoupin County|Illinois,"POLYGON((-90.155 39.524, -89.698 39.524, -89.698 38.998, -90.155 38.998, -90.155 39.524))","-90.155,38.998,-89.698,39.524","39.260999999999996,-89.9265",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,02b-17117,https://data.macoupincountyil.gov/data.json,02b-17117,DCAT API,Monthly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2023-12-05 14:09:50 -0600,,,,,,,,,https://data.macoupincountyil.gov,,,,,,,,,,,,,,,,
Howard County Open Data,"","Website for finding and accessing open data provided by Howard County, Maryland",eng,"","","","",Maryland--Howard County,,Websites,"",County government records,"","",Continually updated resource,,"","",Maryland--Howard County|Maryland,"POLYGON((-77.187 39.369, -76.696 39.369, -76.696 39.103, -77.187 39.103, -77.187 39.369))","-77.187,39.103,-76.696,39.369","39.236000000000004,-76.94149999999999",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,04b-24027,https://opendata.howardcountymd.gov/data.json,04b-24027,DCAT API,Monthly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:00 -0500,2023-12-05 14:09:46 -0600,,,,,,,,,https://opendata.howardcountymd.gov,,,,,,,,,,,,,,,,
Prince George's County Open Data Portal,"","This is the Prince George's County Open Data portal and includes geospatial datasets. Datasets available include boundaries, roads, election and polling, and more.",eng,"","","","",Maryland--Prince George's County,,Websites,"",County government records,"","",Continually updated resource,,"","",Maryland--Prince George's County|Maryland,"POLYGON((-77.079 39.131, -76.670 39.131, -76.670 38.535, -77.079 38.535, -77.079 39.131))","-77.079,38.535,-76.670,39.131","38.833,-76.8745",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,04b-24033,https://data.princegeorgescountymd.gov/data.json,04b-24033,DCAT API,Monthly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:00 -0500,2023-12-05 14:09:46 -0600,,,,,,,,,https://data.princegeorgescountymd.gov,,,,,,,,,,,,,,,,
"Open Data Cincinnati, Ohio","","Website for finding and accessing open data provided by the city of Cincinnati and Hamilton County, Ohio",eng,"","","","",Ohio--Cincinnati,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Ohio--Hamilton County|Ohio,"POLYGON((-84.820 39.312, -84.257 39.312, -84.257 39.022, -84.820 39.022, -84.820 39.312))","-84.820,39.022,-84.257,39.312","39.167,-84.5385",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,11c-01,https://data.cincinnati-oh.gov/data.json,11c-01,DCAT API,Monthly,"",,Indexed,published,,,"",,2021-04-27 13:50:03 -0500,2023-12-05 14:09:51 -0600,,,,,,,,,https://data.cincinnati-oh.gov,,,,,,,,,,,,,,,,
Cook County Open Data,"","Website for finding and accessing open data provided by Cook County, Illinois",eng,"","","","",Illinois--Cook County,,Websites,"",County government records,"","",Continually updated resource,,"","",Illinois--Cook County|Illinois,"POLYGON((-88.264 42.154, -87.524 42.154, -87.524 41.470, -88.264 41.470, -88.264 42.154))","-88.264,41.470,-87.524,42.154","41.812,-87.894",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,12b-17031-2,https://datacatalog.cookcountyil.gov/data.json,12b-17031-2,DCAT API,Monthly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:49:59 -0500,2023-12-05 14:09:44 -0600,,,,,,,,,https://datacatalog.cookcountyil.gov,,,,,,,,,,,,,,,,
City of Chicago Data Portal,"",Website for finding and accessing open data provided by the City of Chicago Data Portal,eng,"","","","",Illinois--Chicago,,Websites,"",Municipal government records,"","",Continually updated resource,,"","",Illinois--Chicago|Illinois,"POLYGON((-87.940 42.023, -87.524 42.023, -87.524 41.644, -87.940 41.644, -87.940 42.023))","-87.940,41.644,-87.524,42.023","41.8335,-87.732",,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,"","","","","","","","",Public,Socrata data portal,,,,12c-01,https://data.cityofchicago.org/data.json,12c-01,DCAT API,Monthly,2021-04-27,,Indexed,published,,,"",,2021-04-27 13:50:02 -0500,2023-12-05 14:09:44 -0600,,,,,,,,,https://data.cityofchicago.org,,,,,,,,,,,,,,,,
