url,bbox
https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_AgSecurityAreas202302.xml,"-77.431890,39.718087,-76.958211,40.064407"
https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_LandConservancyEasements202302.xml,"-77.446040,39.716051,-76.962731,40.060219"
https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MtJoyTwpPreservedFarms202302.xml,"-77.187315,39.737967,-77.120451,39.806974"
https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_MunicipalBoundary202302.xml,"-77.472235,39.717592,-76.952451,40.070974"
https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AdamsCounty_Parcels202302.xml,"-77.472229,39.717566,-76.952241,40.071480"
